feature,coef,abs_coef
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块+较明显反射异常+裂隙密集+围岩极破碎,1.7971838070848731,1.7971838070848731
num__geo_prior_mid,1.661826674498557,1.661826674498557
cat__water_type_fused_线状出水,1.0752433969787294,1.0752433969787294
cat__hazard_掉块+裂隙密集+围岩极破碎+围岩等级建议+明显反射异常+裂隙发育+围岩破碎,1.0110928978923444,1.0110928978923444
cat__hazard_掉块+明显反射异常+裂隙发育+围岩破碎+围岩等级建议,0.9816120578406167,0.9816120578406167
cat__hazard_掉块+较明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+明显反射异常+裂隙发育+围岩破碎,0.9281176781872482,0.9281176781872482
cat__joint_degree_fused_发育,0.916224305985001,0.916224305985001
cat__hazard_较明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块+线状出水+出水+裂隙密集,0.8399779181675532,0.8399779181675532
cat__hazard_明显反射异常+裂隙发育+围岩等级建议+围岩破碎+掉块,0.7891034865872177,0.7891034865872177
cat__hazard_较明显反射异常+裂隙密集+围岩破碎+围岩等级建议+线状出水+掉块+出水,0.7431874378941781,0.7431874378941781
num__water_evidence_count,0.7180643384286206,0.7180643384286206
num__speed_max,-0.7140551169877012,0.7140551169877012
cat__rock_mass_state_fused_破碎-极破碎,-0.6957460089551301,0.6957460089551301
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块+较明显反射异常,-0.6634190970274688,0.6634190970274688
cat__hazard_明显反射异常+裂隙发育+围岩等级建议+掉块+围岩破碎,-0.6358864299671718,0.6358864299671718
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块+裂隙密集+围岩极破碎,-0.5962256170049047,0.5962256170049047
num__rpm_mean,0.5706752377530236,0.5706752377530236
cat__joint_degree_fused_较发育,-0.5559940753006694,0.5559940753006694
num__rpm_max,0.5093028463591847,0.5093028463591847
num__collapse_flag_fused,0.502114822756812,0.502114822756812
cat__hazard_掉块+裂隙发育+围岩破碎+围岩等级建议+明显反射异常,-0.4992546164711356,0.4992546164711356
cat__hazard_较明显反射异常+裂隙发育+围岩破碎+围岩等级建议+明显反射异常+裂隙密集+掉块+线状出水+出水+线-股状出水,0.49715938134059745,0.49715938134059745
cat__hazard_裂隙发育+围岩破碎+围岩等级建议+掉块+明显反射异常+裂隙密集+围岩极破碎,0.4938204661381086,0.4938204661381086
cat__water_type_fused_线-股状出水,-0.48543697833373856,0.48543697833373856
num__thrust_mean,-0.47723644580981184,0.47723644580981184
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+较明显反射异常+线状出水+出水+掉块+线-股状出水,-0.47165873938349906,0.47165873938349906
cat__hazard_较明显反射异常+裂隙密集+围岩破碎+围岩等级建议+掉块,-0.46607380148729477,0.46607380148729477
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块,0.46251251820136013,0.46251251820136013
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+较明显反射异常+裂隙密集+线-股状出水+出水+掉块+线状出水,-0.4295710524165664,0.4295710524165664
cat__hazard_掉块+较明显反射异常+裂隙发育+围岩破碎+围岩等级建议+明显反射异常+线-股状出水+出水,-0.42348231043610735,0.42348231043610735
cat__hazard_掉块+较明显反射异常+裂隙发育+围岩破碎+围岩等级建议,-0.41450956407036615,0.41450956407036615
cat__hazard_掉块+明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+裂隙发育+围岩破碎,-0.4141527085697266,0.4141527085697266
num__rpm_median,-0.4139162544040181,0.4139162544040181
num__thrust_max,-0.4100756305551756,0.4100756305551756
cat__rock_mass_state_fused_较破碎,0.40773183919857403,0.40773183919857403
num__speed_std,-0.3953133040728464,0.3953133040728464
cat__hazard_掉块+明显反射异常+裂隙发育+围岩破碎+围岩等级建议+较明显反射异常,-0.37164192721321765,0.37164192721321765
num__thrust_median,0.3616419880872691,0.3616419880872691
cat__joint_degree_fused_发育密集,-0.353489453146186,0.353489453146186
cat__hazard_掉块+较明显反射异常+裂隙发育+围岩破碎+围岩等级建议+线-股状出水+出水,-0.33917396937705496,0.33917396937705496
cat__hazard_掉块+明显反射异常+裂隙密集+围岩极破碎+围岩等级建议,-0.337923609846863,0.337923609846863
cat__water_type_fused_线-股状出水;线状出水,-0.3087921675405489,0.3087921675405489
cat__hazard_明显反射异常+裂隙密集+围岩破碎+围岩等级建议+掉块+线状出水+出水+线-股状出水,-0.2997741155233979,0.2997741155233979
cat__hazard_掉块+较明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+裂隙发育+围岩破碎,-0.2993281132952077,0.2993281132952077
cat__rock_mass_state_fused_破碎,0.29475494729470125,0.29475494729470125
